Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,20353.10644,23935.43901,28749.65209,32261.76432,32936.97405,34198.87964,34293.25126,34632.572,35423.72881,34687.09061,33885.14923,35317.46811,35267.36073,35010.80452,36911.05412,35025.93695,33132.47722,33081.80088,35077.2103,35043.90134,35130.06787,35625.40514,35545.33209,31775.64345,30540.28268,31476.00102,30889.23557,31999.14695,32079.32623,31761.24438,31533.67915,31803.42805,,
Afghanistan,AFG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8060.022791,8371.813642,8131.108636,8717.1935,8913.623025,9896.151541,10053.91711,11915.43693,13257.60762,12902.16044,14060.1138,14337.68416,14242.29977,14011.16339,13935.2653,13946.70321,13758.39785,
Angola,AGO,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,49617.14367,45791.68813,44193.32271,44435.66436,45452.54826,45403.60687,45099.08959,45319.34888,46450.82241,44901.26776,41911.95141,40943.425,37308.89059,27454.95206,26939.39847,29999.57438,32985.37723,34264.50082,34732.11662,34355.17606,34263.12324,34544.80507,37979.85897,37815.84274,40533.68079,45004.88456,48417.30298,53205.77981,56992.36767,55391.6604,55989.42999,55865.77927,58495.07943,59250.88595,59973.64768,58493.06915,55090.97378,53212.42484,50398.6691,
Albania,ALB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,207072.2488,214627.5874,216335.6797,214135.9738,207053.4325,206451.7449,213914.2643,208032.6993,201245.5861,215179.0602,191105.0308,138423.4493,129256.2855,142479.1381,155259.1771,177033.4941,194347.6883,174211.1203,190791.0584,216752.2962,233298.877,255021.6246,267400.1757,283245.3211,300103.7451,318324.2166,339239.1732,362252.9097,392421.4624,408310.1732,425553.2624,437560.4977,444496.5093,449773.5961,458703.5185,470248.4081,486613.6029,505672.3696,527934.6708,
Andorra,AND,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,24589.52463,24441.08142,25122.72051,25794.10244,26054.74932,25185.03501,25139.40586,25068.84135,24707.29466,23950.15222,23631.43317,22698.288,22032.9166,21461.08841,20903.45385,20480.41256,20275.23486,20544.01816,20743.39533,20909.6915,20879.87121,20594.62512,20003.44722,19120.77053,19043.60451,19209.23101,19943.11529,21762.65021,22522.69496,23362.87246,23809.90977,24171.30723,24740.53877,26563.08928,27446.22528,28496.07567,29006.82775,28424.96735,25618.27765,24497.23548,23188.31484,22296.20165,22287.3573,22823.43328,23803.28986,24373.61398,25063.45654,25593.56372,26008.88242,
Arab World,ARB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,380489.0201,381083.037,401472.6895,347725.8123,377050.5503,426864.7853,415342.6263,364751.2834,329438.082,325322.4577,297055.548,238611.222,232661.2998,213544.1101,226182.2485,252596.7114,240470.5512,234503.4138,224321.3372,227119.2024,230198.2093,231648.8372,238215.6854,226864.5279,221420.5668,232291.2182,223512.9994,217365.0174,221639.5618,221555.7571,206001.2495,195872.9035,173650.1348,155922.5829,132298.3538,124473.1572,127196.5312,130068.5351,135804.7643,141373.0577,147809.8514,150738.1706,149462.7368,149773.5242,
Argentina,ARG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,8931.451188,9264.486097,9039.738185,8426.10465,9137.034795,9949.935748,9737.358488,9900.796754,10226.22887,11049.46932,11212.94605,11662.30095,11662.9787,11797.91014,12252.33998,12057.79184,11634.99896,12256.65534,11531.50028,12520.64398,12516.93386,11682.24031,11412.64272,11718.72771,11712.65272,10928.77316,11418.85318,11545.15158,11244.60191,10284.22018,9885.798881,10638.5375,11328.72393,12099.40805,12644.54353,12134.69582,12653.40533,13522.03051,13884.54994,13265.97141,13017.24606,12308.18475,10849.07692,11681.91125,12603.02266,13577.17017,14521.53667,15672.25782,16147.04531,15040.29012,16439.0564,17226.27072,16856.71822,17070.0712,16459.20496,16727.43474,16207.20083,16468.02046,15897.01223,
Armenia,ARM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737622.0477,657435.9216,389567.2543,363705.956,392620.2915,428362.5646,460519.6076,481149.2335,520325.6734,540918.1726,576458.4648,635462.0107,723217.093,829147.691,921195.3612,1055769.264,1204386.017,1381980.16,1490039.085,1287847.214,1321107.775,1383575.389,1479237.779,1521009.812,1567748.292,1610643.904,1608042.704,1723560.599,1808906.135,
American Samoa,ASM,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12474.6107,12486.55553,12516.5463,12491.18566,12062.86903,12456.09526,12314.75684,11961.25823,12143.58316,12249.14364,11730.46868,11397.69892,11489.30831,11646.24095,11338.15324,10697.59079,10961.86784,
