Country,Province_State,Last_Update,Date,Latitude,Longitude,Confirmed,Deaths,Recovered
Afghanistan,,2020-05-13T11:42:00.003Z,2020-02-24,33,65,1,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-02-25,33,65,1,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-02-26,33,65,1,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-02-27,33,65,1,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-02-28,33,65,1,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-02-29,33,65,1,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-03-01,33,65,1,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-03-02,33,65,1,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-03-03,33,65,1,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-03-04,33,65,1,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-03-05,33,65,1,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-03-06,33,65,1,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-03-07,33,65,1,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-03-08,33,65,4,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-03-09,33,65,4,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-03-10,33,65,5,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-03-11,33,65,7,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-03-12,33,65,7,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-03-13,33,65,7,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-03-14,33,65,11,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-03-15,33,65,16,0,0
Afghanistan,,2020-05-13T11:42:00.003Z,2020-03-16,33,65,21,0,1
Afghanistan,,2020-05-13T11:42:00.003Z,2020-03-17,33,65,22,0,1
